remedy,symptom_text,body_part,modality,source_book,severity,confidence_hint
Acetic Acid,i noticed antidotes carbolic acid,,,,,
Apis Mellifica,"it gets worse when sudden shrill, piercing screams from children while waking or",,,,,
Veratrum Album,"i have and bov., in",,,,,
Baryta Carbonica,i noticed diseases of old men; hypertrophy or induration of,,,,,
Conium Maculatum,it hurts when especially when lying down or turning in bed; moving the head,,,,,
Phytolacca,"i am experiencing lach., mer., sil.)",,,,,
Chelidonium Majus,"having white, watery, pasty; involuntary lately",,,,,
Asarum Europaeum,"i feel (ipec.); < after eating, tongue clean (sulph.); of pregnancy",,,,,
Colchicum Autumnale,having in rheumatic gout with serous lately,,,,,
Lachesis,suffering from great physical and mental exhaustion; trembling in whole,,,,,
Nux Moschata,"place of menses (coc.); patient, awakened with dry tongue (lach.);",general,not specified,Allen,moderate,0.8
Pulsatilla,"it gets worse when abuse of chamomile, quinine, mercury, tea-drinking, sulphur",,,,,
Syphillinum,"having craving alcohol, in any form lately",,,,,
Headache and diarrhoea from jarring of ears,"it hurts when distressing aching in bones; throat sore and swollen, deglutition of",,,,,
Apocynum Cannabinum,"with open sutures; stupor, sight of one eye lost; constant and",general,not specified,Allen,moderate,0.8
Sepia,"i feel vital heat, especially in chronic diseases (in acute diseases, led.)",,,,,
Syphillinum,"my problem is awakening; it is intolerable, death is preferable",,,,,
Eupatorium Perfoliatum,"suffering from especially from inebriety; cachexia, from prolonged or frequent",,,,,
Ignatia,"fault finding or contradiction excites anger, and this makes him",general,not specified,Allen,moderate,0.8
Helleborus Niger,"it hurts when mouth; corners of mouth sore, cracked; nostrils dirty and sooty,",,,,,
Lycopodium Clavatum,"having from fright, anger, mortification, or vexation with reserved lately",,,,,
Phosphoric Acid,i am experiencing weak and indifferent to the affairs of life,,,,,
Carbolic Acid,i feel keynotes by h.c,,,,,
Silicea,"i noticed follows well: after,",,,,,
Iodum,"it hurts when mental exertion, cal",,,,,
Tartar Emetic,"my problem is asphyxia: mechanical, as apparent death from drowning; from",,,,,
Spigelia,it hurts when keynotes by h.c,,,,,
Asterias Rubens,"i am experiencing discharged; gradually invaded entire breast, very fetid odor; edges",,,,,
Zincum Metallicum,"it hurts when moving of feet, in bed for hours after retiring, even when asleep",,,,,
Lac Caninum,"i feel (bov., graph., lach., nat",,,,,
Syphillinum,suffering from exhaustion on awakening (lach.),general,not specified,Allen,moderate,0.8
Syphillinum,"my problem is memory; cannot remember names of books, persons or places;",,,,,
Psorinum,"i have if never washed; coarse, greasy, as if bathed in oil; bad effects",,,,,
Headache and diarrhoea from jarring of ears,i am experiencing rheumatism of top of,,,,,
Cyclamen Europaeum,"sitting, standing or walking in open air (agar., caust., val., phyt.)",general,not specified,Allen,moderate,0.8
Caulophyllum,will correct,general,not specified,Allen,moderate,0.8
Lachesis,"i have scanty, feeble; pains all relieved by the flow; always better during",,,,,
Thuja Occidentalis,"i am experiencing - on edges, staph.); crumble, turn yellow (syph.)",,,,,
Sulphuric Acid,"it hurts when from obstinacy, but inaptness",,,,,
Mezereum,"suffering from for light-haired, irresolute persons of a phelgmatic temperament",,,,,
Aurum Metallicum,it hurts when with nearly all complaints,,,,,
Fluoric acid,"edges, and threaten to become open ulcers (caust., graph.)",general,not specified,Allen,moderate,0.8
Veratrum Viride,(melanthaceae.),general,not specified,Allen,moderate,0.8
Thuja Occidentalis,suffering from thuja bears the same relation to the,,,,,
Ammonium Carbonicum,"i feel headache; sensation of fullness, as if forehead would burst (bell.,",,,,,
Bromium,"i noticed (rhus, sulph.); > after shaving (< after shaving, carbo an.)",,,,,
Hamamelis Virginica,i am experiencing proportion to amount of blood lost (hydr.),,,,,
Glonoine,"i am experiencing evening when sitting before and open coal fire, or falling asleep",,,,,
Diseases occurring in winter,i feel if given in low (weak),,,,,
Eupatorium Perfoliatum,"i noticed one day, at noon the next day;",,,,,
Magnesia Muratica,i am experiencing palpitation and cardiac pains while,,,,,
Tabacum,"suffering from dyspepsia; chronic nervousness, especially in sedentary",,,,,
Rhus Toxicodendron,"it hurts when red tip; takes imprint of teeth (chel., pod.)",,,,,
Pyrogen,keynotes by h.c,general,not specified,Allen,moderate,0.8
Lac Caninum,"i am experiencing despondent, hopeless; thinks",,,,,
Mercurius,my problem is great weakness and trembling from least exertion,,,,,
Puls,i have amelioration,,,,,
Hyoscyamus Niger,it hurts when delirium of the latter,,,,,
Equisetum Hyemale,"pain at close of urination (berb., sars., thuja)",general,not specified,Allen,moderate,0.8
Tabacum,"having vertigo, sneezing lately",,,,,
Phosphorus,i am experiencing of old people,,,,,
Thuja Occidentalis,"suffering from adapted to hydrogenoid constitution of granvogl, which is related",,,,,
Lycopodium Clavatum,"i noticed for persons intellectually keen, but physically weak; upper part of",,,,,
Stramonium,"it gets worse when after overaction, from repeated doses of",,,,,
Pa,"it may be a so-called ""keynote,"" a",general,not specified,Allen,moderate,0.8
Phosphate of Magnesia,"i am experiencing becoming almost unberable, driving patient to frenzy; rapidly",,,,,
Natrum Carbonicum,i noticed emaciation with pale face and blue rings around,,,,,
Cocculus,"i feel when fever assumes a slow, ""sneaking,""",,,,,
Ferrum Metallicum,"i noticed delicate, chlorotic, yet have a fiery red face",,,,,
Sabina,"i have between periods, with sexual excitement (amb.)",,,,,
Sepia,faints easily: after getting wet; from,general,not specified,Allen,moderate,0.8
Graphites,"i am experiencing cracks or fissures in ends of fingers, nipples, labial",,,,,
Psorinum,my problem is hay fever: appearing regularly every year the same,,,,,
Chamomilla,"my problem is oversensitive to open air; great aversion to wind, especially about",,,,,
Fluoric acid,"i feel ascites of drunkards; after, kali c",,,,,
Cicuta Virosa,"i noticed consciousness; opisthotonos; renewed from slightest touch, noise",,,,,
Pulsatilla,"irregular, intermitting flow, with evening chilliness; with intense",general,not specified,Allen,moderate,0.8
Anthracinum,it hurts when in the terrible,,,,,
Crotalus Horridus,it hurts when vomiting or diarrhoea come on,,,,,
Ammonium Carbonicum,my problem is one of the best remedies in,,,,,
Phosphate of Magnesia,"i noticed ailments of teething children; spasms during dentition, no fever",,,,,
Petroleum,"i feel - carriage riding (coc., sanic.); during a",,,,,
Mercurius,contact of urine which must be washed off (sulph.),general,not specified,Allen,moderate,0.8
Natrum Carbonicum,i noticed - from music; in the sun; excessive summer heat;,,,,,
Croton Tiglium,i noticed croton oil seeds,,,,,
Chamomilla,"having green, watery, corroding, like chopped eggs and spinach; hot, very lately",,,,,
Phosphoric Acid,it gets worse when onanism; when patient is,,,,,
Phosphorus,placing hands in warm water; sneezing and coryza from putting,general,not specified,Allen,moderate,0.8
Pulsatilla,"i have patients, anaemic or chlorotic, who have taken",,,,,
Sulphur,it hurts when when carefully selected,,,,,
Asarum Europaeum,"i noticed pod., puls., sulph",,,,,
Lycopodium Clavatum,it hurts when foetus appears to be turning somersaults,,,,,
Bryonia Alba,"muscular fibre; dry, nervous, slender people (nux)",general,not specified,Allen,moderate,0.8
Causticum,"it hurts when rawness, and aphonia < in the morning (< in the evening, carbo v.,",,,,,
Phosphorus,"i noticed swollen, oedematous (upper lids, kali c.; lower, apis)",,,,,
Antimony Crudum,"i am experiencing abject despair, suicide by drowning",,,,,
Bryonia Alba,"it gets worse when similar: to, bell.,",,,,,
Belladonna,i am experiencing keynotes by h.c,,,,,
Natrum Muriaticum,"kinds with the silver nitrate; to grief, fright, vexation, mortification",general,not specified,Allen,moderate,0.8
Nux Vomica,catarrh: snuffles of infants (am,general,not specified,Allen,moderate,0.8
Kali Carbonicum,having nosebleed when washing the face in the morning (am lately,,,,,
Dulcamara,having dropsy: after suppressed sweat; suppressed eruptions; exposure to lately,,,,,
Carbo Vegetabilis,"i feel broken down, debilitated; blood oozes from weakened tissues; vital",,,,,
Drosera Rotundifolia,"it hurts when pura.): ""one single dose of the 30th",,,,,
Lycopodium Clavatum,having one foot hot and the lately,,,,,
Opium,"having c., mill.), persons with light hair, lax lately",,,,,
Staphisagria,i noticed painful sensitiveness of,,,,,
Mercurius,"having apt to run together (syphilitic ulcers are circular, attack the lately",,,,,
Thuja Occidentalis,having headache: as if a nail had been driven into parietal bone lately,,,,,
Natrum Sulphuricum,"i have chronic brain effects of blows, falls",,,,,
Chelidonium Majus,"it hurts when compare: acon., bry., lyc., mer., nux, sang., sep.,",,,,,
Cicuta Virosa,"consciousness; opisthotonos; renewed from slightest touch, noise",general,not specified,Allen,moderate,0.8
Cina,i am experiencing v.); < after eating fruit (puls.),,,,,
Very much inclined to take cold,"i am experiencing follows well: after, kali",,,,,
Nux Vomica,cannot keep from,general,not specified,Allen,moderate,0.8
Puls,"- warmth, hard pressure (cinch.); swallowing;",general,not specified,Allen,moderate,0.8
Caulophyllum,"parturition, lactation",general,not specified,Allen,moderate,0.8
Argentum Nitricum,"having (alum., arg lately",,,,,
Nux Moschata,it hurts when pregnancy; from wearing pessaries,,,,,
Anthracinum,"from absorption or pus or other deleterious substances, with",general,not specified,Allen,moderate,0.8
Cannabis Indica,thought or event on account of other thoughts crowding the brain,general,not specified,Allen,moderate,0.8
Trillium Pendulum,i have and small of back were falling to pieces; as if sacro-iliac,,,,,
Lac Caninum,"my problem is very hungry, cannot eat enough to satisfy; as hungry after eating",,,,,
Argentum Metallicum,ailments from abuse of mercury,general,not specified,Allen,moderate,0.8
Sulphur,having or the best selected remedy lately,,,,,
Fatal syncope may occur when being raised to upright position,having aggravation lately,,,,,
Arum Triphyllum,"desquamation in large flakes, a",general,not specified,Allen,moderate,0.8
Ignatia,persons in north america than nux vomica persons -,general,not specified,Allen,moderate,0.8
Ignatia,"it hurts when twitchings, jerkings, even spasms of single limbs or",,,,,
Sepia,i am experiencing yellowness: of the face; conjunctiva; yellow spots,,,,,
Apis Mellifica,"(thuja, 3 a",general,not specified,Allen,moderate,0.8
Apis Mellifica,"it gets worse when women, specially widows; children and",,,,,
Digitalis Purpurea,"my problem is irregular intermitting pulse, occurring at the climacteric; < by least",,,,,
Sabadilla,> in open air,general,not specified,Allen,moderate,0.8
Rheum,i noticed colic: < at once by uncovering an arm or leg; with,,,,,
Magnesia Muratica,"i feel every six weeks, in forehead and around the eyes; as if it would",,,,,
Ignatia,suffering from involuntary,,,,,
Causticum,"suffering from patient improves for a time, then comes to a ""standstill"" (psor,",,,,,
Benzoic Acid,my problem is urinary gouty and rheumatic affections,,,,,
Colchicum Autumnale,my problem is in rheumatic gout with serous,,,,,
Aurum Metallicum,having keynotes by h.c lately,,,,,
Staphisagria,suffering from vexation or reserved displeasure (aur.),,,,,
Tabacum,my problem is excessive nausea and vomiting,,,,,
Lac Caninum,"my problem is extend to ears (hep., kali bi.); begins on left side (lach.)",,,,,
Terebinth,"suffering from scarlatina (apis, hell., lach.)",,,,,
Cantharides,"i have an., colch.)",,,,,
Stramonium,suffering from desires light and company;,,,,,
Dulcamara,"i have anasarca; after ague, rheumatism, scarlet fever",,,,,
Diphtherinum,"suffering from the remedy is prepared, like all nosodes and",,,,,
Spigelia,"it hurts when ac., sulph.)",,,,,
Iodum,it gets worse when compare: acet,,,,,
Allium Cepa,- predominantly in the evening and in warm room,general,not specified,Allen,moderate,0.8
Pulsatilla,"patients, anaemic or chlorotic, who have taken",general,not specified,Allen,moderate,0.8
Pa,preface : second edition,general,not specified,Allen,moderate,0.8
Tartar Emetic,"it gets worse when with pneumonia, especially of right lung",,,,,
Benzoic Acid,"suffering from stitching, in large joints of big toe; redness and swelling of joints;",,,,,
Crotalus Horridus,having intensely swollen lately,,,,,
Rumex Crispus,"suffering from dry, incessant, fatiguing",,,,,
Arsenic Album,i feel complaints return annually,,,,,
Sabadilla,"it hurts when catalepsy; from worms (cina, psor.)",,,,,
Allium Cepa,"suffering from neuralgic pains like a long thread; in face, head,",,,,,
Staphisagria,suffering from when stomach is full of food,,,,,
Taraxacum,jaundice with,general,not specified,Allen,moderate,0.8
Zincum Metallicum,child repeats everything said to it,general,not specified,Allen,moderate,0.8
Cuprum Metallicum,"having the tongue, like a snake (lach.) lately",,,,,
Cicuta Virosa,i feel disappear (coc.),,,,,
Thuja Occidentalis,abdomen: as if an animal were crying; motion as if something,general,not specified,Allen,moderate,0.8
Carbo Vegetabilis,i have haemorrhage,,,,,
Staphisagria,"suffering from all day, awake all night; body aches all over",,,,,
Plumbum,"it hurts when m., sanic.)",,,,,
Arnica Montana,i have fear of being touched or struck by persons coming near him,,,,,
Hepar Sulphuris,it gets worse when atmospheric changes and cold air,,,,,
Pyrogen,persons (psor.),general,not specified,Allen,moderate,0.8
Rhus Toxicodendron,"suffering from tongue: dry; sore, red, cracked; triangular",,,,,
Lac Caninum,it gets worse when one nostril stuffed,,,,,
Thuja Occidentalis,"alive; protrudes here and there like the arm of a foetus (croc., nux",general,not specified,Allen,moderate,0.8
Veratrum Album,having during menses; during stool; when perspiring; after fright lately,,,,,
Crocus Sativus,"headache; during climacteric,",general,not specified,Allen,moderate,0.8
Actaea Racemosa,i noticed symptoms during,,,,,
All sequelae of measles,suffering from - camphor antidoes nearly every vegetable medicine;,,,,,
Belladonna,"having violent delirium; disposition to bite, lately",,,,,
Causticum,i have with contraction of the flexors and stiffness of the joints; tension,,,,,
Causticum,"having xixeixwa, especially lately",,,,,
Eupatorium Perfoliatum,i have he cannot drink enough,,,,,
Equisetum Hyemale,"it gets worse when sharp, burning, cutting pain in urethra",,,,,
Aesculus Hippocastanum,mucous membranes of,general,not specified,Allen,moderate,0.8
Camphora,suffering from livid; profound prostration,,,,,
Kreosotum,it hurts when (iod.); post climacteric diseases of women (lach.),,,,,
Phytolacca,"i have lach., mer., sil.)",,,,,
Spongia Tosta,i noticed keynotes by h.c,,,,,
Lachesis,"my problem is stools lies in rectum, without urging; sensation of constriction of",,,,,
Silicea,"toes, feet and axillae; offensive",general,not specified,Allen,moderate,0.8
Calendula,i noticed surgical operation; to promote healthy granulation and prevent,,,,,
Headache and diarrhoea from jarring of ears,"pains in legs, from hips to knees; only when walking",general,not specified,Allen,moderate,0.8
Phosphoric Acid,"i feel boring, drawing,",,,,,
Kreosotum,i have incontinence of urine; can only urinate when lying;,,,,,
Pa,i noticed pronunciation of our remedial agents an,,,,,
Sanicula,my problem is does not want to be touched,,,,,
Carbolic Acid,"it gets worse when time, disappear suddenly (bell., mag",,,,,
Ferrum Metallicum,it hurts when cinch.: the,,,,,
Nitric Acid,"i feel joints, on motion (coc., graph.)",,,,,
Ledum Palustre,heels as if bruised,general,not specified,Allen,moderate,0.8
Cina,it hurts when when haemorrhage results,,,,,
Lilium Tigrinum,"suffering from menses: early, scanty, dark, offensive; flow",,,,,
Allium Cepa,"i am experiencing similar: to, euph., but coryza and",,,,,
Natrum Muriaticum,"it gets worse when of hair at nape of neck (in bend of knees, hep., graph.)",,,,,
Crocus Sativus,it gets worse when dysmenorrhoea: flow black;,,,,,
Aurum Metallicum,"menstrual and uterine affections, with",general,not specified,Allen,moderate,0.8
Mercurius Biniodide,"i noticed from the nose, like an circle",,,,,
Phosphate of Magnesia,"i am experiencing cold things; > by heat (> by cold, bry., coff., fer",,,,,
Dulcamara,i feel dropsy: after suppressed sweat; suppressed eruptions; exposure to,,,,,
Kalmia Latifolia,"i have muscles, pain < when turning the eyes (spig.); begins at sunrise, <",,,,,
Kali c,having amelioration lately,,,,,
Headache and diarrhoea from jarring of ears,of labia and vagina < by thinking of it,general,not specified,Allen,moderate,0.8
Arnica Montana,having pelvic region lately,,,,,
Carbo Vegetabilis,"i noticed well-selected remedies (opium, val.)",,,,,
Sulphuric Acid,especially of old people,general,not specified,Allen,moderate,0.8
Anthracinum,my problem is keynotes by h.c,,,,,
Colocynthis,i noticed pains: are worse after eating or,,,,,
Baryta Carbonica,i feel - when thinking of his disease (oxal,,,,,
Cocculus,i have symptoms; ant,,,,,
Arnica Montana,having there is nothing the matter with him lately,,,,,
Pyrogen,"i have or sewer gas infection; during course of diphtheria, typhoid or",,,,,
Psorinum,i have appetite will,,,,,
Arsenic Album,"it gets worse when v., lach., sulph., thuja)",,,,,
Mercurius Corrosivus,i feel corrosive sublimate,,,,,
Thuja Occidentalis,"i noticed surrounded with flat warts, or moist mucous condylomata",,,,,
Lycopodium Clavatum,my problem is descends from nose to right tonsil; < after sleep and from cold,,,,,
Psorinum,"i have whole body painful, easily sprained and injured",,,,,
Sulphuric Acid,i have feels in a great hurry; everything,,,,,
The Publishers,my problem is masterpiece of materia medica work: its,,,,,
Argentum Metallicum,"i am experiencing ears, nose, eustachian; the structures entering into joints",,,,,
Veratrum Album,it hurts when thinks she is pregnant or will soon be delivered,,,,,
Arsenic Album,"suffering from hot coals were applied to parts (antr.), > by heat, hot drinks, hot",,,,,
Ignatia,"i noticed p., hyos.); broods in solitude over",,,,,
Sulphuric Acid,"with bruised pain,",general,not specified,Allen,moderate,0.8
Lachesis,"it gets worse when boils, carbuncles, ulcers",,,,,
Thlaspi Bursa Pastoris,"delaying menses from uterine inertia; exhausting, scarcely recovers",general,not specified,Allen,moderate,0.8
Ranunculus Bulbosus,my problem is irritation (agar.),,,,,
Graphites,"it gets worse when leucorrhoea: acrid, excoriating; occurs",,,,,
Lachesis,i am experiencing ailments from long lasting grief;,,,,,
Petroleum,thunderstorm (nat,general,not specified,Allen,moderate,0.8
Lach,i feel acts promptly by,,,,,
Ipecacuanha,"having disturbance; after abuse of, or suppression from quinine lately",,,,,
Ledum Palustre,it hurts when alcohol (colch.),,,,,
Lachesis,having ailments: haemorrhoids haemorrhages; hot flushes and hot lately,,,,,
Glonoine,i feel children get sick in the,,,,,
Arsenic Album,"v., phos., pyr",general,not specified,Allen,moderate,0.8
Kreosotum,again (sulph.),general,not specified,Allen,moderate,0.8
Nux Moschata,i feel (myristicaceae.),,,,,
Bromium,"i am experiencing (rhus, sulph.); > after shaving (< after shaving, carbo an.)",,,,,
Rhododendron,"it hurts when rheumatic drawing, tearing pains in all",,,,,
Sulphur,"i am experiencing body marking the onset of tumors or malignant growths, especially",,,,,
Podophyllum,it hurts when painless cholera morbus; cholera infantum,,,,,
Cannabis Sativa,i am experiencing (urticaccae),,,,,
Aesculus Hippocastanum,"i noticed constipation: hard, dry",,,,,
Headache and diarrhoea from jarring of ears,i have arms; exhausted by slightest effort,,,,,
Hamamelis Virginica,"my problem is venous, without effort or coughing; sometimes monthly, for years",,,,,
Argentum Nitricum,suffering from relieved when the crude,,,,,
Magnesia Carbonica,"i feel diarrhoea: preceded by cutting, doubling-up colic; occurs regularly",,,,,
Aconitum Napellus,"excitability; afraid to go out, to go into a crowd where there is any",general,not specified,Allen,moderate,0.8
Selenium,"with long-continued threill; weak, ill-humored after coitus, often",general,not specified,Allen,moderate,0.8
Sepia,"i noticed vital heat, especially in chronic diseases (in acute diseases, led.)",,,,,
Pa,"i noticed teacher, and is published at the earnest solicitation",,,,,
Spigelia,"sigmoid or rectum, atrocious unbearable pain (alumen)",general,not specified,Allen,moderate,0.8
Phytolacca,my problem is keynotes by h.c,,,,,
Calendula,"- complementary: hep., sal",general,not specified,Allen,moderate,0.8
Hyoscyamus Niger,my problem is lasciviousness when hyos,,,,,
Fluoric acid,"- complementary: coca, sil",general,not specified,Allen,moderate,0.8
Phosphorus,"haemoptysis, vicarious, from nose, stomach, anus, urethra, in",general,not specified,Allen,moderate,0.8
Tabacum,having sensation of lately,,,,,
Taking cold water or cold air into mouth,keynotes by h.c,general,not specified,Allen,moderate,0.8
Borax,horseback riding (compare sanic.),general,not specified,Allen,moderate,0.8
Millefolium,suffering from haemorrhoids; with oppression and palpitation; after a fall from a,,,,,
Hamamelis Virginica,"it gets worse when - complementary: ferrum, in haemorrhages and the",,,,,
Cocculus,sensation: in abdomen of cutting and rubbing on,general,not specified,Allen,moderate,0.8
Kali Bichromicum,"i noticed cough: violent, rattling, with",,,,,
Hamamelis Virginica,i have witch hazel,,,,,
Syphillinum,"it gets worse when treated by local means, and as a result have suffered from throat",,,,,
Spongia Tosta,"i feel sibilant, like a saw driven through a pine board; < sweets, cold",,,,,
Ipecacuanha,my problem is persistent nausea,,,,,
Abrotanum,"i feel flesh while eating well (iod., nat",,,,,
Sulphuric Acid,"alcohol, 10 to 15 drops, three times daily for three or four weeks,",general,not specified,Allen,moderate,0.8
Calcarea Ostrearum,"- complementary: to bell., which is the acute of calc",general,not specified,Allen,moderate,0.8
Selenium,it hurts when during sleep dreams of what he has forgotten,,,,,
Nitric Acid,"having sensation: of a band around head, lately",,,,,
Phosphate of Magnesia,it hurts when headache: begins in occiput,,,,,
Glonoine,"i noticed feels too large, full, bursting; blood seems to be pumped upwards;",,,,,
Psorinum,"whole body painful, easily sprained and injured",general,not specified,Allen,moderate,0.8
Collinsonia Canadensis,"it hurts when consult collinsonia when cac., dig., and other remedies fail",,,,,
Zincum Metallicum,"- symptoms: of chest, by expectoration; of bladder,",general,not specified,Allen,moderate,0.8
Hamamelis Virginica,i feel pain in back,,,,,
Zincum Metallicum,having incessant and violent fidgety feeling lately,,,,,
Aurum Metallicum,"i have pinning boys; low-spirited, lifeless, weak memories,",,,,,
Sepia,"my problem is do anything, either work or play; even an exertion to think",,,,,
Thuja as if some thing alive in abdomen,it gets worse when amelioration,,,,,
Colchicum Autumnale,"the odor of cooking food, especially fish, eggs or fat meat (ars.,",general,not specified,Allen,moderate,0.8
Capsicum,"the constricting, burning, smarting pains",general,not specified,Allen,moderate,0.8
Rumex Crispus,"throat pit, causing, dry, teasing cough",general,not specified,Allen,moderate,0.8
Bryonia Alba,"coldness; after anger chilly, but with head hot and face red (aur.)",general,not specified,Allen,moderate,0.8
Argentum Metallicum,"suffering from similar: to, stan",,,,,
Apis Mellifica,suffering from extreme sensitiveness to touch,,,,,
Cantharides,urethra during micturition; violent tenesmus and strangury,general,not specified,Allen,moderate,0.8
Psorinum,"suffering from the middle of night; must have something to eat (cina, sulph.)",,,,,
Caladium,it gets worse when american arum,,,,,
Lilium Tigrinum,i feel menstrual irregularities and,,,,,
Sulph,having great characteristic or rhus is that with few exceptions the pains lately,,,,,
Causticum,keynotes by h.c,general,not specified,Allen,moderate,0.8
Mercurius Cyanide,"i am experiencing corresponds to the genus epidemicus, like every other remedy, is",,,,,
Lycopodium Clavatum,my problem is loosening the garments,,,,,
Chelidonium Majus,"it hurts when dung (op., plumb.); alternate constipation and diarrhoea",,,,,
Lac Caninum,i noticed throats and cough are apt to begin and end with menstruation;,,,,,
Lycopodium Clavatum,"fauces brownish red, deposit spreads from right tonsil to left, or",general,not specified,Allen,moderate,0.8
Drosera Rotundifolia,my problem is give a second dose immediately after the first; it would not only,,,,,
Crotalus Horridus,"having - compare: elaps, lach., naja, pyr lately",,,,,
Tabacum,i noticed seasickness;,,,,,
Alumina,leucorrhoea:,general,not specified,Allen,moderate,0.8
Causticum,"having must move constantly, but motion does not relieve lately",,,,,
Kali Bichromicum,"suffering from by lying down (worse when lying down, aral., lach.)",,,,,
Nux Moschata,it hurts when unconquerable sleep,,,,,
Agaricus Muscarius,it gets worse when delirium: with constant raving; tries to get out of bed; in typhoid,,,,,
Rhododendron,i feel (ericaceae),,,,,
Oversensitive to heat and cold,"i feel is followed well: by, ars",,,,,
Melilotus Alba,suffering from engorgement of blood-,,,,,
Val,my problem is reading or talking aloud; the presence of many people; after,,,,,
Bacillinum,"my problem is nervous system - beginning suddenly, ceasing suddenly",,,,,
Graphites,it hurts when intolerable odor; often caused by suppressed eruptions (psor.),,,,,
Phosphoric Acid,"i have rapidly (cal., cal",,,,,
Thuja Occidentalis,it gets worse when menstrual nisus,,,,,
Aesculus Hippocastanum,in lumbo-sacral articulation; more or less constant; affecting,general,not specified,Allen,moderate,0.8
Staphisagria,it hurts when colic: after,,,,,
Diphtherinum,"having antitoxin will and is not only easy to administer, but safe and lately",,,,,
Mercurius,"i am experiencing ptyalism; tenacious, soapy, stringy,",,,,,
Bromium,i feel dyspnoea: cannot inspire,,,,,
Graphites,"suited to women, inclined to obesity, who suffer from habitual",general,not specified,Allen,moderate,0.8
Amylenum Nitrosum,i am experiencing constant stretching for,,,,,
Silicea,"my problem is (diarrhoea before and during menses, am",,,,,
Petroleum,"i am experiencing skin of hands rough, cracked, tips of",,,,,
Sabina,i am experiencing discharge of blood,,,,,
Staphisagria,"my problem is styes, chalazae on eyelids or upper",,,,,
Sulphuric Acid,i noticed ecchymosis;,,,,,
Mercurius,ulcers; red or white,general,not specified,Allen,moderate,0.8
Anacardium Orientale,"my problem is disposed to be malacious, seems bent on wickedness",,,,,
Staphisagria,i feel ill-humored,,,,,
Sulphur,"having compatible: calc., lyc., puls., sars., lately",,,,,
Alumina,"it hurts when covered with mucus; of soft, clayey, adhering to parts (plat.)",,,,,
Magnesia Muratica,"it hurts when urine; pale, yellow, can only be",,,,,
Silicea,suffering from constitutions which suffer,,,,,
Cicuta Virosa,eczema: no itching;,general,not specified,Allen,moderate,0.8
Mercurius Biniodide,it gets worse when furuncles and boils in,,,,,
Cocculus,"sick-headache from carriage, boat or train riding",general,not specified,Allen,moderate,0.8
Petroleum,"i noticed - reverse of plat., stan.)",,,,,
Cicuta Virosa,having eczema: no itching; lately,,,,,
Anacardium Orientale,"it hurts when lying down in bed at night, and when about falling asleep; worse",,,,,
Ferrum Metallicum,"i have - complementary: to, alum., cinch",,,,,
Carbo Vegetabilis,around abdomen,general,not specified,Allen,moderate,0.8
Thuja Occidentalis,suffering from unhealthy skin,,,,,
Aconitum Napellus,i am experiencing draughts of cold air while in a perspiration; bad effects of checked,,,,,
Tabacum,"suffering from dyspepsia; chronic nervousness, especially in sedentary",,,,,
Lac Caninum,"i have as before (casc., cal., cina, lyc., stront.)",,,,,
Nux Vomica,keynotes by h.c,general,not specified,Allen,moderate,0.8
Arnica Montana,i feel labor; prevents post-partum haemorrhage and puerperal,,,,,
Argentum Nitricum,having chilly when lately,,,,,
Cannabis Indica,"it gets worse when - compare: bell., hyos;,",,,,,
Staphisagria,"ailments from pride, envy or chagrin",general,not specified,Allen,moderate,0.8
Arnica Montana,"injuries or cough (led., nux.)",general,not specified,Allen,moderate,0.8
Ipecacuanha,it gets worse when constant and continual nausea,,,,,
Fluoric acid,women who have borne many children,general,not specified,Allen,moderate,0.8
Sexual desire absent in fleshy people,i am experiencing general weakness and coldness are present; cal,,,,,
Chamomilla,"i feel - warm air, but worse in warmth of bed (led., mer",,,,,
Actaea Racemosa,it hurts when excessive muscular,,,,,
Chamomilla,having milk runs out in lately,,,,,
Anthracinum,"suffering from hering says: ""to call a carbuncle a surgical disease is the",,,,,
Sepia,"suffering from anxiety: with fear, flushes of heat",,,,,
Apis Mellifica,having anus were wide open (phos.) lately,,,,,
Kali Carbonicum,"my problem is pains, stitching, darting, worse during rest and lying on affected",,,,,
Ranunculus Bulbosus,it gets worse when pleurisy or pneumonia from sudden exposure to,,,,,
Nux Vomica,i noticed chiefly successful with persons of an ardent character; of an,,,,,
Ammonium Muriaticum,"i noticed c., phos., puls.,",,,,,
Carbo Animalis,suffering from into ichorous or malignant conditions,,,,,
Belladonna,"stool tardy and urine suppressed; sleepy; but cannot sleep (cham.,",general,not specified,Allen,moderate,0.8
Very much inclined to take cold,"i have though apparently indicated, fails -",,,,,
Veratrum Album,my problem is drinking (ars.); by least motion (tab.); great weakness after,,,,,
Iodum,"dark haired persons (light haired, brom.); feels > after eating",general,not specified,Allen,moderate,0.8
Carbo Animalis,"i am experiencing lips, and great debility",,,,,
Ledum Palustre,kal.); especially if brought to a low asthenic condition by abuse of,general,not specified,Allen,moderate,0.8
Cina,i am experiencing - from slightest touch; draft of air; every other day;,,,,,
Colocynthis,"it gets worse when double, dios.); menses, suppressed by chagrin, colic pains",,,,,
Tabacum,"i feel during pregnancy, when lactic acid fails (psor.)",,,,,
Zincum Metallicum,"hunger: ravenous, about 11 or 12",general,not specified,Allen,moderate,0.8
Carbo Vegetabilis,"it gets worse when weather; fails when exerted (< morning, caust.)",,,,,
