symptom,possible_condition,severity,patient_age_group,remedy_name,potency,keynote_indication,remedy_reason,suitable_for_bp_high,suitable_for_diabetic,avoid_if_allergy,dietary_restrictions,what_to_avoid,consult_doctor,source_book,additional_notes
anxiety,Sudden Panic Attack,low,all,Aconitum Napellus,30C,"Sudden intense terror with palpitations; fear of death; cold sweat; after fright shock or bad news; worse at night","At LOW severity for first acute panic attack especially after a clear trigger Aconite 30C is the fastest-acting remedy. Dissolve 3 pellets and take immediately during attack. Can abort a panic attack within minutes when correctly indicated",yes - safe and calms hypertensive panic,yes - safe for diabetics,Aconite plant (dilution safe),Calm environment; slow deep breathing; cool water on face; quiet,Coffee / Camphor / Mint / Fright / Cold wind / Bad news / Crowd,no,Allen's Keynotes,Best for very first panic attacks with identifiable trigger; acts within minutes
anxiety,Chronic Anticipatory Anxiety,moderate,adult,Argentum Nitricum,30C,"Anxiety about future events; hurried feeling; diarrhea before important events; craves sweets then worse; worse from heat","At MODERATE severity for chronic anticipatory anxiety with physical symptoms Argentum Nitricum 30C addresses both the mental and physical components. The sweet craving that worsens symptoms and heat aggravation are keynotes",yes - safe for BP patients,caution - sweet craving is keynote; monitor blood sugar levels,None,Avoid sweets and caffeine; cool environment; regular daily schedule; breathing exercises,Coffee / Camphor / Mint / Heat / Sweet food / Crowds / Anticipation,no for moderate; yes for severe anxiety disorder,Boericke's Materia Medica,Diarrhea before exam or performance is pathognomonic keynote of Argentum Nit
anxiety,Severe Anxiety Disorder with Depression,high,adult,Ignatia Amara,200C,"Grief-based anxiety with sighing; contradictory symptoms; hysteria; lump in throat; silent grief; emotional suppression; cannot be consoled","At HIGH severity when anxiety is rooted in grief emotional loss or suppression Ignatia 200C addresses the deepest layer. The paradoxical and contradictory symptoms (better from something that should worsen) and sighing are definitive. Work alongside mental health professional",yes - safe for BP patients,yes - safe for diabetics,Strychnine (dilution safe),Gentle social interaction; creative outlets; avoid isolation; grief counseling,Coffee / Camphor / Mint / Consolation (worsens) / Tobacco / Emotional pressure,yes - severe anxiety with depression needs professional mental health care,Allen's Keynotes + Boericke,Sighing and contradictory symptoms; never console - it worsens the state
fever (child),Fever in Children,low,child,Ferrum Phosphoricum,6X,"Early childhood fever; flushed face; rapid pulse; no other defining symptoms; first stage of any childhood illness","At LOW severity in children Ferrum Phos 6X is the safest and most effective first-stage remedy. Completely safe for infants. Give every 2 hours dissolved in water at onset of any fever. Works before the illness fully establishes",yes - safe for all ages,yes - safe for all ages,Iron (extremely rare sensitivity),Breast milk or formula; coconut water; light khichdi for older children,Coffee / Camphor / Mint / Adult medicines,no for low fever; yes if fever persists beyond 2 days,Boericke's Materia Medica,Safest fever remedy for children; give at very first sign before the full picture develops
fever (child),High Fever with Convulsion Risk,moderate,child,Belladonna,30C,"Sudden high fever in child; burning hot face; red face; glassy staring eyes; delirium; may be leading to febrile convulsion","At MODERATE severity in children with high fever and risk of febrile convulsion Belladonna 30C is essential. The burning hot dry skin with glassy eyes and possible delirium are definitive. Give 30C every 2 hours alongside fever management",caution - monitor child's BP if possible; generally safe,yes - safe for diabetics,Nightshade allergy (rare),Cool fluids; lukewarm sponging; paracetamol alongside if needed,Coffee / Camphor / Mint / Overheating / Bright light / Noise,no but monitor closely; yes if convulsion occurs,Allen's Keynotes,Burning hot dry skin with glassy eyes in high childhood fever is Belladonna's domain
fever (child),Child with Convulsion / Emergency Fever,high,child,Cuprum Metallicum,200C,"Convulsions with fever in child; violent spasms; clenched thumbs; face bluish; spasms begin in fingers and toes then spread","At HIGH severity with febrile convulsion Cuprum Met 200C is given immediately while rushing to hospital. The clenched thumbs and convulsion beginning in extremities and spreading is pathognomonic. CALL AMBULANCE immediately",not relevant - emergency situation,not relevant - emergency situation,Copper compounds (dilution safe),Nothing by mouth; recovery position; call 112 immediately,Coffee / Camphor / Mint,yes - febrile convulsion is a medical emergency; call ambulance NOW,Boericke's Materia Medica,Give under tongue while placing child in recovery position and calling ambulance; do not delay conventional care
urinary problems,Mild UTI / Burning Urination,low,adult,Cantharis,30C,"Burning cutting pain before during and after urination; constant urging; passes urine drop by drop; worse from any movement","At LOW severity for the very beginning of urinary tract infection Cantharis 30C is the primary remedy. The burning pain that exists before during AND after urination is the definitive keynote. Drink 3 liters of water alongside",yes - safe for BP patients,yes - safe for diabetics,Spanish fly (dilution completely safe),3-4 liters water daily; coconut water; cranberry juice; avoid spicy food,Coffee / Camphor / Mint / Spicy food / Alcohol / Suppression of urine,no for uncomplicated mild UTI; yes if fever develops,Allen's Keynotes + Boericke,Burning present before during and after urination is absolute keynote of Cantharis
urinary problems,Acute UTI with Frequency,moderate,all,Sarsaparilla,30C,"Burning at end of urination only; severe pain at close of urination; urine dribbles while sitting; passes better standing","At MODERATE severity when burning is specifically at the END of urination Sarsaparilla 30C is chosen over Cantharis. This distinction is critical - burning at end of urination versus throughout. Urine passed better while standing is unique keynote",yes - safe for BP patients,yes - safe for diabetics,Sarsaparilla plant (very safe),3-4 liters water daily; avoid irritants; cranberry juice,Coffee / Camphor / Mint / Sitting to urinate / Spicy food,no for moderate UTI; yes if fever and back pain suggest kidney involvement,Boericke's Materia Medica,Burning specifically at END of urination and better standing are the definitive distinguishing keynotes
urinary problems,Kidney Stone / Pyelonephritis,high,adult,Berberis Vulgaris,Q (Mother Tincture),"Radiating pain from kidney region to ureter to bladder to thigh; bubbling sensation in kidneys; burning urination; worse from jarring","At HIGH severity for renal colic with the characteristic radiating pain pattern Berberis Vulgaris Q (10-15 drops in water) is primary. The bubbling sensation in kidneys and radiation to thigh is pathognomonic. Drink 4-5 liters of water. See doctor for ultrasound",yes - safe for BP patients,yes - safe for diabetics,Barberry plant (safe),4-5 liters water daily; lemon water; low oxalate diet; avoid red meat,Coffee / Camphor / Mint / Jarring / Motion / Low fluid intake,yes - renal colic with fever needs emergency care,Boericke's Materia Medica,Bubbling sensation in kidney area with radiating pain is keynote; always get ultrasound
blood pressure high,Mild BP Elevation,low,adult,Rauwolfia Serpentina,Q (Mother Tincture),"Sustained mild BP elevation; tachycardia; insomnia; anxiety; dizziness; suitable for stage 1 hypertension management","At LOW severity for stage 1 hypertension Rauwolfia Q (10 drops in water twice daily) is the most specific homeopathic remedy for sustained BP elevation. Monitor BP daily. Lifestyle changes mandatory alongside",specifically indicated as primary homeopathic antihypertensive,yes - safe for diabetics,Rauwolfia plant (safe),Salt restriction; DASH diet; 30 min daily walking; stress reduction; no alcohol,Coffee / Camphor / Mint / Salt / Stress / Alcohol / Smoking / Sedentary lifestyle,no if lifestyle-controlled; yes if BP above 140/90 persistently,Boericke's Materia Medica,Most evidence-based homeopathic remedy for BP; monitor BP every day
blood pressure high,Moderate Hypertension with Headache,moderate,adult,Glonoine,30C,"Bursting headache with high BP; pulsations throughout body; worse from heat and sun; cannot think clearly; surging sensation","At MODERATE severity when hypertension comes with congestive throbbing headache Glonoine 30C rapidly reduces vascular engorgement. The bursting surging sensation with heat aggravation is pathognomonic. Use alongside conventional antihypertensives",specifically indicated for hypertensive headache and vascular surging,yes - safe for diabetics,Nitroglycerine (dilution safe),Avoid sun and heat; cool dark room; salt-free diet; rest,Coffee / Camphor / Mint / Sun / Heat / Exertion / Stimulants,no for moderate with existing medication; yes if BP above 160/100,Allen's Keynotes + Boericke,Use alongside conventional medicines; never stop prescribed antihypertensives
blood pressure high,Hypertensive Crisis,high,adult,Gelsemium,200C,"Sudden extreme BP elevation with dizziness; heavy drooping eyelids; paralytic weakness; slow pulse; dull confused state","At HIGH severity in hypertensive urgency with neurological symptoms Gelsemium 200C addresses the paralytic congested state while awaiting emergency care. CALL 112 IMMEDIATELY for hypertensive crisis. This is supportive only",relevant - emergency; conventional IV antihypertensives needed,yes - safe for diabetics,Gelsemium plant (dilution safe),Nothing by mouth; call ambulance; keep calm and seated; loosen clothing,Coffee / Camphor / Mint / Excitement / Exertion,yes - EMERGENCY; call ambulance immediately; do not delay,Allen's Keynotes + Boericke,Give while calling ambulance; do not rely on homeopathy alone in hypertensive crisis; target organ damage risk
blood sugar high,Mild Hyperglycemia,low,adult,Syzygium Jambolanum,Q (Mother Tincture),"Mildly elevated blood sugar; excessive thirst; frequent urination; weakness; prickly heat on skin; long-standing diabetes management","At LOW severity for mild blood sugar elevation and diabetes management Syzygium Q (10-15 drops in water twice daily) is the primary homeopathic remedy. Reduces glycosuria and thirst. Monitor blood sugar daily. Diet and exercise mandatory",yes - safe for BP patients,specifically indicated for diabetes - monitors sugar alongside this remedy,Jamun fruit (very rare allergy),No sugar or refined carbs; low glycemic diet; regular exercise; frequent small meals,Coffee / Camphor / Mint / Sugar / Sweets / Inactivity,no for mild controlled diabetes; yes for any uncontrolled reading,Boericke's Materia Medica,Never replace conventional insulin with homeopathy alone in Type 1 diabetes
blood sugar high,Moderate Uncontrolled Diabetes,moderate,adult,Uranium Nitricum,30C,"Great weakness with diabetes; excessive urination; thirst; nausea; wasting despite eating; progressive debility","At MODERATE severity with wasting and debility in uncontrolled diabetes Uranium Nitricum 30C addresses the deeper derangement of sugar metabolism alongside conventional management. The progressive wasting despite adequate food intake is the keynote",yes - safe for BP patients; monitor both,specifically indicated for moderate diabetes with wasting; continue conventional medication,Uranium compounds (dilution safe),Strict diabetic diet; frequent blood sugar monitoring; regular exercise; protein-rich food,Coffee / Camphor / Mint / Sugar / Refined carbs / Irregular meals / Inactivity,yes - uncontrolled diabetes always needs endocrinologist oversight,Boericke's Materia Medica,Always use alongside conventional diabetes medicines; homeopathy is adjunct not replacement
blood sugar high,Diabetic Emergency / DKA,high,adult,Phosphoric Acid,30C,"Great exhaustion and debility; apathy; hair falling; weakness from stress; mental debility with physical diabetes complications","At HIGH severity in diabetic complications with exhaustion Phosphoric Acid 30C supports vitality. HOWEVER diabetic ketoacidosis is a MEDICAL EMERGENCY requiring IV insulin and hospitalization. Use homeopathy as supportive care ONLY while rushing to hospital",yes - emergency; monitor BP,emergency - monitor blood sugar continuously,Phosphoric acid (dilution safe),Nothing by mouth; rush to hospital; IV fluids needed,Coffee / Camphor / Mint,yes - EMERGENCY; diabetic ketoacidosis needs immediate hospitalization,Boericke's Materia Medica,Do not delay conventional emergency care for DKA; use homeopathy as supportive measure only
blood sugar low,Mild Hypoglycemia,low,adult,China Officinalis,30C,"Weakness and trembling from low sugar; periodic weakness; faintness; great hunger; cold sweats; pale face","At LOW severity for mild hypoglycemia China Officinalis 30C supports recovery AFTER eating glucose. ALWAYS eat sugar first - give glucose tablets juice or candy immediately. China Officinalis then supports the depleted system and prevents recurrence",yes - safe for BP patients,use ONLY after consuming glucose first; supportive remedy,Quinine (dilution safe),Eat glucose immediately then balanced meal; carry glucose tablets always,Coffee / Camphor / Mint / Long gaps between meals / Fasting,no for mild; yes if recurring hypoglycemia needs medication review,Boericke's Materia Medica,ALWAYS give glucose food first; homeopathy is supportive after blood sugar stabilizes
blood sugar low,Moderate Hypoglycemia with Sweating,moderate,adult,Veratrum Album,30C,"Profuse cold sweating with low sugar; weakness; vomiting; pale cold face; collapsed feeling; intense hunger","At MODERATE severity with cold sweating and near-collapse from hypoglycemia Veratrum Album 30C supports while sugar is being replenished. Cold perspiration with collapse tendency is keynote. Give glucose immediately alongside",yes - safe; monitor BP as hypoglycemia affects BP,give glucose IMMEDIATELY alongside; do not delay,Veratrum plant (dilution safe),Glucose or sugar immediately; then protein-rich meal; frequent monitoring,Coffee / Camphor / Mint / Fasting / Delayed meals,no if stabilizes; yes if not responding to glucose,Allen's Keynotes + Boericke,Cold sweat and collapse feeling with low blood sugar; always prioritize glucose administration
blood sugar low,Severe Hypoglycemia / Unconsciousness,high,adult,Opium,200C,"Unconscious state; deep stupor; no response to stimuli; face bluish; slow breathing; hypoglycemic coma","At HIGH severity with loss of consciousness from hypoglycemia Opium 200C is given under the tongue while calling ambulance. The stuporous unresponsive state is keynote. DO NOT give anything by mouth to unconscious person. CALL 112 IMMEDIATELY",not relevant - emergency,not relevant - emergency; IV glucose needed immediately,Opium plant (dilution safe and non-addictive),Nothing by mouth; IV glucose by emergency services,Coffee / Camphor / Mint,yes - EMERGENCY; loss of consciousness is medical emergency; call 112 NOW,Boericke's Materia Medica,Place pellet under tongue ONLY; call ambulance; IV glucose is definitive treatment; do not delay
menstrual pain,Mild Period Cramps,low,adult female,Magnesia Phosphorica,6X,"Spasmodic cramping better from warmth and pressure; worse from cold; relieved by bending double; right-sided","At LOW severity Magnesia Phos 6X dissolved in warm water is the fastest-acting tissue salt for mild period cramps. Sip warm water with 4 tablets dissolved every 15 minutes. The relief from warmth is the definitive keynote",yes - safe for BP patients,yes - safe for diabetics,Magnesium phosphate (very safe tissue salt),Warm soups; hot water bottle on abdomen; avoid cold food and drinks,Coffee / Camphor / Mint / Cold drinks / Cold bathing / Cold environment,no,Boericke's Materia Medica,Dissolve in warm water and sip slowly for fastest action; do not use cold water
menstrual pain,Moderate Dysmenorrhea with Clots,moderate,adult female,Cimicifuga,30C,"Severe cramps radiating to thighs; flow worsens pain; large dark clots; back pain with periods; worse from cold; emotional distress","At MODERATE severity when period pain is severe with clots and radiation to thighs Cimicifuga 30C is primary. The characteristic worsening of cramps as flow increases (opposite of most remedies) and dark clots are the keynotes",yes - safe for BP patients,yes - safe for diabetics,Black cohosh plant (dilution safe),Warm soups; rest; hot water bottle; iron-rich foods; avoid cold,Coffee / Camphor / Mint / Cold / Exertion / Emotional upset,no for moderate; yes if endometriosis or PCOS suspected,Boericke's Materia Medica,Pain worsening as flow increases is unique and pathognomonic for Cimicifuga
menstrual pain,Severe Dysmenorrhea / Endometriosis Pattern,high,adult female,Colocynthis,200C,"Agonizing cramping during periods; must press hard on abdomen; bends double; screaming from pain; colicky waves","At HIGH severity with agonizing menstrual cramps where patient doubles over Colocynthis 200C is essential. The same remedy used for colic applies perfectly here - the absolute relief from hard pressure and doubling is pathognomonic. Rule out endometriosis with gynecologist",yes - safe for BP patients,yes - safe for diabetics,None,Warm liquids only during severe pain; heating pad; complete rest,Coffee / Camphor / Mint / Cold / Exertion / Anger,yes - severe dysmenorrhea always evaluate for endometriosis,Allen's Keynotes,Doubling over with hard pressure relief during periods is keynote; severe cases need gynecological evaluation
acne,Mild Acne / Blackheads,low,all,Berberis Aquifolium,30C,"Mild acne and blackheads; clears complexion; skin rough and unhealthy; itching; supports liver detoxification","At LOW severity for mild acne and blackheads Berberis Aquifolium 30C is gentle and very safe. It works through improving liver function and clearing the blood. Safe for teenagers. Results in 4-6 weeks of regular use",yes - safe for BP patients,yes - safe for diabetics,Barberry (very safe),Avoid oily junk food; plenty of water; fruits and vegetables; reduce sugar,Coffee / Camphor / Mint / Oily food / Sugar / Dairy,no,Boericke's Materia Medica,The complexion remedy; purifies blood through liver; very safe for long-term use
acne,Moderate Inflammatory Acne,moderate,all,Sulphur,30C,"Inflamed red acne; itching burning worse from heat; unhealthy dirty-looking skin; hot patient; worse from washing","At MODERATE severity with inflamed itching acne Sulphur 30C is primary. The heat-worsening and burning quality of acne and the hot constitution of the patient are keynotes. Give ONCE WEEKLY not daily - Sulphur is a deep-acting remedy",yes - safe for BP patients,yes - safe for diabetics,Sulphur (dilution safe),Avoid oily junk food; reduce sugar and dairy; regular face washing with gentle soap,Coffee / Camphor / Mint / Heat / Alcohol / Fatty food,no for moderate; yes if cystic or scarring,Allen's Keynotes + Boericke,NEVER give Sulphur daily - weekly dose only; it is a deep constitutional remedy
acne,Severe Cystic Acne with Pus,high,all,Hepar Sulphuris Calcareum,200C,"Deep cystic infected acne with pus; extremely painful; hypersensitive to cold and touch; wants warmth; irritable","At HIGH severity with cystic infected painful acne Hepar Sulph 200C either brings the cyst to rapid suppuration for release or aborts infection. The extreme cold and touch sensitivity with irritability are keynotes. Always consult dermatologist for severe cystic acne",yes - safe for BP patients,yes - safe for diabetics,Sulphur compounds (dilution safe),Anti-inflammatory diet; avoid dairy and sugar; gentle skin care,Coffee / Camphor / Mint / Cold air / Touch / Cold applications,yes - severe cystic acne needs dermatological evaluation,Boericke's Materia Medica,Extreme sensitivity to cold and touch with pus formation is keynote; see dermatologist for antibiotics assessment
constipation,Mild Constipation,low,all,Nux Vomica,30C,"Frequent ineffectual urging; passes only small amount; feeling of incomplete evacuation; chilly irritable patient; morning worse","At LOW severity Nux Vomica 30C at bedtime addresses the modern lifestyle constipation with ineffectual urging. The constant desire but inability to pass is keynote. Take at night for morning relief",yes - safe for BP patients,yes - safe for diabetics,None,High fiber diet; 2-3 liters water daily; morning walk; no refined food,Coffee / Camphor / Mint / Sedentary lifestyle / Late nights / Spicy food / Alcohol,no,Allen's Keynotes + Boericke,Take at bedtime for best effect; ineffectual urging is keynote
constipation,Moderate Constipation with Dry Hard Stool,moderate,all,Bryonia Alba,30C,"Large dry hard stool; no desire to pass at all; very thirsty for large amounts; dry mouth and lips; worse from motion","At MODERATE severity with large dry hard stool and complete absence of urge Bryonia 30C is primary. This is distinguished from Nux Vomica by the absence of any urge - Bryonia patient never gets the urge while Nux Vomica patient has too much urge",yes - safe for BP patients,yes - safe for diabetics,None,3-4 liters water daily; fibrous vegetables and fruits; avoid refined flour and white rice,Coffee / Camphor / Mint / Dehydration / Dry foods / Inactivity,no,Allen's Keynotes + Boericke,No desire for stool at all with extreme dryness distinguishes from Nux Vomica
constipation,Severe Constipation / Impaction,high,adult,Alumina,200C,"No urge whatsoever; even soft stool requires great straining; rectum inactive; paralyzed bowel; worse from eating potatoes","At HIGH severity with paralytic constipation where even soft stool cannot be passed Alumina 200C addresses the complete inactivity of the rectum. The rectum has no peristaltic action. Straining for soft stool is pathognomonic. Consult doctor for enema or disimpaction if no response",yes - safe for BP patients,yes - safe for diabetics,Aluminum compounds (dilution safe),4 liters water; prune juice; warm castor oil orally; abdominal massage,Coffee / Camphor / Mint / Potatoes / Aluminum cookware / Inactivity,yes - severe impaction needs medical management,Boericke's Materia Medica,Straining for soft stool with no urge and paralytic rectum is pathognomonic for Alumina
anxiety (children),Anxiety in Children,low,child,Aconitum Napellus,30C,"Sudden fear and anxiety in child after fright or nightmare; fear of dark; clinging to parent; sudden onset","At LOW severity in children with sudden anxiety after fright Aconite 30C is safe and rapidly effective. Give dissolved in water. Works within minutes for acute childhood anxiety attacks",yes - safe for children's BP,yes - safe for diabetic children,Aconite plant (dilution safe for children),Calm reassuring environment; warm milk at bedtime; gentle routine,Coffee / Camphor / Mint / Fright / Dark / Sudden noise / Scary media,no,Allen's Keynotes,Dissolve in water for children; gentle and fast-acting for acute childhood fears
anxiety (children),Chronic Anxiety in Children,moderate,child,Calcarea Carbonica,30C,"Anxious chubby child; fears the dark and animals; obstinate; sweats on head at night; slow development; many unfounded fears","At MODERATE severity for the chronically anxious child Calcarea Carbonica 30C addresses constitutional fears. The night head sweating in chubby slow child with stubborn behavior and animal fears is pathognomonic constitutional picture",caution in high BP - consult first; generally safe,yes - safe for diabetics,Calcium carbonate (very safe),Warm cooked food; regular sleep schedule; gentle reassurance; avoid scary media,Coffee / Camphor / Mint / Cold / Damp / Overexertion / Scary stories,no,Allen's Keynotes + Boericke,Sweating on head during sleep in a chubby child with many fears is keynote
runny nose,Watery Burning Nasal Discharge,low,all,Allium Cepa,30C,"Profuse watery burning nasal discharge like cutting an onion; bland eye discharge; worse in warm room; better outdoors","At LOW severity Allium Cepa 30C is first choice for the classic burning runny nose better in fresh air. The onion-like burning of nasal discharge with bland non-irritating eye symptoms is pathognomonic",yes - safe for BP patients,yes - safe for diabetics,Onion allergy (dilution safe),Avoid allergens; warm water steam inhalation; vitamin C rich foods,Coffee / Camphor / Mint / Warm rooms / Pollen / Dust,no,Allen's Keynotes + Boericke,The anti-onion remedy; burning nose with bland eyes is keynote
runny nose,Sinusitis with Thick Discharge,moderate,adult,Kali Bichromicum,30C,"Thick stringy ropy yellow-green discharge; sinus pressure and pain at root of nose; worse from cold; stringy mucus stretches out","At MODERATE severity when runny nose has progressed to sinusitis with thick ropy discharge Kali Bich 30C is primary. The mucus that can be pulled out as a long string is absolutely pathognomonic and immediately identifies this remedy",yes - safe for BP patients,yes - safe for diabetics,None,Steam inhalation; avoid cold and dairy; nasal saline rinse; warm soups,Coffee / Camphor / Mint / Cold / Beer / Dairy / Cold air,no for moderate; yes if frontal sinus pain or fever,Boericke's Materia Medica,Stringy ropy mucus that stretches into a long thread is absolute keynote of Kali Bich
runny nose,Chronic Sinusitis / Nasal Polyps,high,adult,Lemna Minor,30C,"Chronic blocked nose; nasal polyps; loss of smell; worse in damp wet weather; offensive discharge","At HIGH severity with chronic sinusitis and polyp formation Lemna Minor 30C specifically addresses nasal polyps and chronic obstruction. Loss of smell and aggravation in wet weather are the keynotes. Always consult ENT for polyps - surgery may be needed",yes - safe for BP patients,yes - safe for diabetics,Lemna plant (very safe),Avoid damp environment; humidifier with eucalyptus; avoid cold and dairy,Coffee / Camphor / Mint / Damp / Wet weather / Cold,yes - chronic sinusitis and polyps need ENT evaluation,Boericke's Materia Medica,Loss of smell with nasal polyps in damp weather aggravation is keynote; ENT evaluation essential
nausea,Mild Nausea from Food or Smell,low,all,Colchicum,30C,"Nausea from smell of food especially cooking food; cannot tolerate any food smell; extreme weakness with nausea","At LOW severity the extreme aversion to smell of cooking food as the primary trigger for nausea is Colchicum's pathognomonic keynote. No other remedy has this as strongly",yes - safe for BP patients,yes - safe for diabetics,Colchicum plant (dilution safe),Avoid kitchen during cooking; room temperature bland food; ginger sips,Coffee / Camphor / Mint / Smell of cooking food / Strong odors,no,Boericke's Materia Medica,Smell of cooking food causing nausea is unique to Colchicum; no other remedy has this strongly
nausea,Persistent Nausea Not Relieved by Vomiting,moderate,all,Ipecacuanha,30C,"Constant nausea even after vomiting; clean tongue despite severe nausea; profuse salivation; pale; not relieved by anything","At MODERATE severity when nausea is constant and vomiting gives zero relief Ipecacuanha 30C is primary. The paradox of a perfectly clean tongue despite terrible ongoing nausea is the absolute keynote of this remedy",yes - safe for BP patients,yes - safe for diabetics,Ipecac plant (dilution safe),Small sips of cool water; avoid all food until nausea passes,Coffee / Camphor / Mint / Any food smell,no for moderate; yes if cannot keep any fluids down,Allen's Keynotes + Boericke,Clean tongue with constant nausea unrelieved by vomiting is pathognomonic
nausea,Severe Vomiting / Hyperemesis,high,all,Kreosotum,200C,"Violent vomiting of undigested food hours after eating; sweetish water vomited; burning in esophagus; worse from cold drinks","At HIGH severity when vomiting of undigested food hours after eating occurs Kreosotum 200C is primary. The food eaten hours ago being vomited undigested is the pathognomonic keynote. Always seek medical care to prevent dehydration",yes - safe for BP patients,yes - safe for diabetics,Creosote (dilution safe),ORS sips only; nothing solid; medical care for IV fluids if needed,Coffee / Camphor / Mint / Cold drinks / Solid food,yes - severe vomiting needs medical evaluation for dehydration,Boericke's Materia Medica,Vomiting of undigested food hours after eating is keynote; rule out gastric outlet obstruction
cold and flu,Common Cold / Influenza,low,all,Aconitum Napellus,30C,"Sudden cold after exposure to dry cold wind; restlessness; fever beginning; much sneezing; no discharge yet","At LOW severity at very first sign of cold especially after cold wind or chill Aconite 30C stops the cold from progressing. Must be given in first 12-24 hours only. Window of opportunity remedy.",yes - safe for BP patients,yes - safe for diabetics,Aconite plant (dilution safe),Warm ginger tea; rest; warm clothing; avoid cold exposure,Coffee / Camphor / Mint / Cold wind / Excitement,no,Allen's Keynotes,Only effective in very first stage; will not work if given after discharge begins
cold and flu,Common Cold / Influenza,moderate,all,Gelsemium,30C,"Flu with heaviness of eyelids; dullness; chills up and down spine; aching limbs; no thirst; wants to lie still","At MODERATE severity when flu sets in with heavy drooping eyelids and muscular weakness and aching Gelsemium 30C is the classic flu remedy. The absence of thirst despite fever is a strong keynote.",yes - safe; reduces anxiety-driven BP,yes - safe for diabetics,None,Warm soups; complete bed rest; warm fluids; avoid cold,Coffee / Camphor / Mint / Excitement / Exertion / Cold,no,Allen's Keynotes + Boericke,Classic flu remedy; heaviness and drowsiness are keynotes
cold and flu,Severe Influenza / Dengue Pattern,high,all,Eupatorium Perfoliatum,200C,"Severe flu with intense bone-breaking pain; eyeballs sore; great thirst for cold water; vomiting of bile after chill","At HIGH severity when flu causes intense bone-deep pain as if bones are breaking Eupatorium 200C is primary. The aching so deep it feels like bones will break is pathognomonic. Used classically for dengue-like fevers.",yes - safe for BP patients,yes - safe for diabetics,Eupatorium plant (dilution safe),ORS and warm fluids; complete rest; light diet,Coffee / Camphor / Mint / Cold,yes - severe flu with bone pain needs medical evaluation,Boericke's Materia Medica,Bone-breaking pain is pathognomonic; rule out dengue with blood test
wounds and bruises,Bruise / Contusion / Physical Injury,low,all,Arnica Montana,30C,"Bruised sore feeling after injury; bed feels too hard; denies being ill; says nothing is wrong; worse from touch","At LOW severity for any bruise bump or contusion Arnica 30C is the first remedy. Reduces swelling and bruising rapidly. Give immediately after any physical injury. The denial of illness is a keynote.",yes - safe for BP patients,yes - safe for diabetics,Arnica plant (dilution safe; avoid topical on broken skin),Light diet; rest the injured part; cold compress first 24 hours,Coffee / Camphor / Mint / Touch / Pressure on injury,no,Allen's Keynotes,Give immediately after any injury for best results; also available as topical cream
wounds and bruises,Deep Bruising / Nerve Injury,moderate,all,Hypericum Perforatum,30C,"Shooting burning nerve pain after injury; injuries to nerve-rich areas like fingers toes spine; lacerated wounds","At MODERATE severity when injury involves nerve-rich areas with shooting burning neuralgic pain Hypericum 30C is the nerve remedy. Fingertip injuries spine injuries coccyx injuries are keynotes.",yes - safe for BP patients,yes - safe for diabetics,St. John's Wort (dilution safe),Rest the injured part; keep wound clean; light diet,Coffee / Camphor / Mint / Touch / Jarring,no,Boericke's Materia Medica,The arnica of the nerves; for any injury involving nerve-rich areas
wounds and bruises,Infected Wound / Abscess Formation,high,all,Hepar Sulphuris Calcareum,200C,"Infected wound forming pus; extreme sensitivity to touch and cold; splinter-like pain; very irritable patient","At HIGH severity with wound infection and pus formation Hepar Sulph 200C either promotes rapid drainage or aborts infection. Extreme cold sensitivity and irritability are keynotes. See doctor for severe infections.",yes - safe for BP patients,yes - safe for diabetics,Sulphur compounds (dilution safe),Keep wound clean; warm compress; nutritious diet for healing,Coffee / Camphor / Mint / Cold air / Cold applications / Touch,yes - infected wounds need medical evaluation,Boericke's Materia Medica,200C promotes suppuration and drainage; see doctor if red streaks appear
bleeding,Minor Bleeding / Nosebleed,low,all,Millefolium,30C,"Bright red profuse bleeding; nosebleeds; bleeding from minor wounds; blood does not clot easily; passive hemorrhage","At LOW severity for minor nosebleeds and superficial bleeding Millefolium 30C is primary. The bright red passive bleeding that flows freely is keynote. Apply pressure alongside.",yes - safe for BP patients,yes - safe for diabetics,Yarrow plant (very safe),Cold compress on bleeding area; rest; avoid hot food and drinks,Coffee / Camphor / Mint / Heat / Straining / Exertion,no,Boericke's Materia Medica,Apply direct pressure alongside remedy; seek help if bleeding does not stop in 10 minutes
bleeding,Excessive Bleeding / Hemorrhage,moderate,adult,Phosphorus,30C,"Profuse bright red bleeding from any orifice; small wounds bleed excessively; blood thin and non-clotting; fear with bleeding","At MODERATE severity with excessive bleeding from wounds nose or other sites Phosphorus 30C addresses the tendency for blood not to clot. The bright red thin non-clotting blood is keynote.",caution - consult in very high BP; generally safe,yes - safe for diabetics,None,Iron-rich foods after bleeding stops; rest; plenty of fluids,Coffee / Camphor / Mint / Salt / Exertion,no for minor; yes if significant blood loss,Allen's Keynotes + Boericke,Thin bright red blood that does not clot easily is absolute keynote
